departamento,correlacion,total_casos
CASANARE,0.1305743385710066,12915
ARAUCA,0.12579106758478348,6892
META,0.09598236642625271,45752
SANTANDER,0.04935134716555586,68009
RISARALDA,0.04777851215911974,13292
SUCRE,0.032454273319845954,16948
BOYACA,0.03236899240513962,5313
TOLIMA,0.028476390594188834,63944
ANTIOQUIA,0.02709271773864785,63001
QUINDIO,0.017083584294336845,11647
BOLIVAR,0.012521890774876403,29827
CORDOBA,0.002367781770919688,21700
HUILA,-0.00708502149808127,41165
CESAR,-0.012740035275941763,19202
CAQUETA,-0.017367198356694997,6811
NORTE SANTANDER,-0.01968175723839204,27624
VALLE,-0.030653008746538365,152227
PUTUMAYO,-0.031216270753586163,10292
CUNDINAMARCA,-0.03715414360354966,27859
CAUCA,-0.04377269378916373,12639
NARIÑO,-0.04441539033452669,6835
ATLANTICO,-0.04927724855453432,23209
MAGDALENA,-0.050190701894404624,11681
GUAJIRA,-0.0815725840997178,7528
